Type,Description,Type_encoded,requirement_length,requirement_length_scaled
PE,The system shall refresh the display every 60 seconds.,7,54,-1.0331776475447114
LF,The application shall match the color of the schema set forth by Department of Homeland Security,4,96,-0.3380421045729441
US,If projected  the data must be readable.  On a 10x10 projection screen  90% of viewers must be able to read Event / Activity data from a viewing distance of 30,11,159,0.7046612098847068
A,The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.,0,196,1.3170425215503114
US,If projected  the data must be understandable. On a 10x10 projection screen  90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100,11,203,1.4328984453789393
SE,The product shall ensure that it can only be accessed by authorized users.  The product will be able to distinguish between authorized and unauthorized users in all access attempts,10,180,1.0522289813705905
US,The product shall be intuitive and self-explanatory.  :  90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.,11,172,0.91982221128073
PE,The product shall respond fast to keep up-to-date data in the display.,7,70,-0.7683641073649905
F,The system shall have a MDI form that allows for the viewing of the graph and the data table.,1,93,-0.3876946433566418
F,The system shall display Events in a vertical table by time.,1,60,-0.9338725699773162
F,The system shall display the Events in a graph by time.,1,55,-1.016626801283479
L,All business rules specified in the Disputes System shall be in compliance to the guidelines of Regulation E and Regulation Z.,3,126,0.15848328326403255
L,The Disputes application must maintain a detailed history of every action that a user takes on a dispute case.  This ensures a complete audit trail if questions arise later on with regard to a particular dispute case.,3,217,1.664610293036195
L,All actions that modify an existing dispute case must be recorded in the case history.,3,86,-0.5035505671852697
F,The Disputes System must be accessible by both internal and external users.,1,75,-0.6856098760588277
F,The Disputes System must prevent users from accessing any dispute cases that do not belong to their cardholder base.,1,116,-0.0070251793482930145
F,The Disputes System will facilitate direct data entry of a dispute case via a user interface that supports real time responses to the users.,1,140,0.3901951309212883
F,The Disputes System must provide different levels of access with regard to disputes case initiation and follow-up actions.,1,122,0.09227989821910232
F,The Disputes System shall provide view access capability for authorized users of the application.,1,97,-0.32149125831171155
F,The Disputes System shall provide update access capability for authorized users of the application.,1,99,-0.28838956578924646
F,The Disputes System must provide the user the ability to initiate a single dispute case on multiple transactions that belong to a single merchant.,1,146,0.48950020848868364
F,The Disputes System must prevent external users from requesting original receipts. Requests for original receipts are restricted to internal users.,1,147,0.5060510547499162
F,The Disputes System shall prevent the creation of duplicate dispute requests 100% of the time.,1,94,-0.37114379709540923
F,The Disputes System must provide the ability to view existing dispute cases.,1,76,-0.6690590297975952
F,The Disputes System shall provide the users the ability to view the history of all activities that have occurred on the dispute case.,1,133,0.2743392070926604
F,All letter requests must be formatted according to guidelines specified by the Print Letter Utility system.,1,107,-0.155982795699386
F,Any disputes cases that have been closed for over 6 months must be purged from the online disputes database.,1,108,-0.13943194943815346
O,The product must support Internet Explorer 5.5 and above.,6,57,-0.9835251087610137
O,The product must support Mozilla Firefox 1.0 and above.,6,55,-1.016626801283479
O,The product shall interface with the Choice Parts System.  This provides the feed of recycled parts data.,6,105,-0.18908448822185112
O,The product shall run on the existing hardware for all environments.,6,68,-0.8014657998874557
O,The product shall adhere to the corporate Architecture guidelines,6,65,-0.8511183386711534
LF,The product shall comply with corporate User Interface Guidelines,4,65,-0.8511183386711534
LF,The product shall comply with corporate color scheme,4,52,-1.0662793400671766
LF,The appearance of the product shall appear professional,4,55,-1.016626801283479
PO,The software product is expected to run on Windows or Linux platforms.,8,70,-0.7683641073649905
US,The product shall be easy to use by Adjusters and Collision Estimators.  95% of Adjusters and Collision Estimators shall find the product easy to use.,11,150,0.5557035935336139
US,The product shall increase productivity of Collision Estimators. 80% of the Collision Estimators shall agree their productivity has increase within 1 month of using the product.,11,177,1.0025764425868928
US,Users shall feel satisfied using the product.  85% of all users will be satisfied with the product.,11,99,-0.28838956578924646
US,The product shall be easy to learn by Adjusters and Collision Estimators.  The product shall be learned with two days onsite training,11,133,0.2743392070926604
US,The user shall easily locate instructions while using the product.  User help can be found within 90% of the system.,11,116,-0.0070251793482930145
PE,The search for recycled parts shall take no longer than 15 seconds.  The search results shall be returned in under 15 seconds.,7,126,0.15848328326403255
PE,The search for the preferred repair facility shall take no longer than 8 seconds.  The preferred repair facility is returned within 8 seconds,7,141,0.40674597718252087
PE,The recycled parts audit report shall be returned to the user within 10 seconds.  The audit report shall be returned within 10 seconds.,7,135,0.30744089961512555
PE,The preferred repair facility ratings shall be saved within 5 seconds. The save shall occur within 5 seconds.,7,109,-0.1228811031769209
A,The product shall adhere to the corporate online availability schedule.  The application is brought down only within 98% of the scheduled outages per the availability schedule.,0,176,0.9860255963256603
A,The product shall achieve a 98% uptime. The product shall not fail more than 2% of the available online time.,0,109,-0.1228811031769209
SC,The product shall be able to handle up to 1500 simultaneous users. The system shall perform with 1500 users as a time.,9,118,0.026076513174172096
SC,The average number of recycled parts records per day shall be 50 000.,9,69,-0.7849149536262231
SC,The product shall be able to handle 10 000 concurrent users within 2 years of the initial launch.,9,97,-0.32149125831171155
O,For estimators  the product shall be able to be operated in a repair facility during dirty and noisy conditions.,6,112,-0.07322856439322324
O,The product shall interface with the ChoiceParts system once per day at approximately 1:00 AM.,6,94,-0.37114379709540923
O,The maintenance of the product will fall within the established corporate maintenance windows.,6,94,-0.37114379709540923
O,The product shall be supported using the corporate support center.,6,66,-0.8345674924099208
O,Product installations and upgrades shall be handled by the middleware technology team within established launch time frames.,6,124,0.12538159074156743
SE,Only adjusters can request recycled parts audit reports. No users without an adjuster role shall request recycled parts audits.,10,127,0.1750341295252651
SE,Only adjusters with a supervisor role can update preferred repair facility ratings. Users without the supervisor role cannot access the repair facility ratings.,10,160,0.7212120561459394
SE,Only collision estimators shall search for recycled parts.  Users without the collision estimator role shall not have access to the search for recycled parts.,10,158,0.6881103636234743
SE,Only valid data shall be entered into the system.  No invalid data shall be entered into the system.,10,100,-0.2718387195280139
SE,One insurance company shall not be able to view another insurance companys claim data.,10,86,-0.5035505671852697
SE,The product shall free of computer viruses.,10,43,-1.2152369564182695
SE,The system shall prevent malicious attacks including denial of service.,10,71,-0.751813261103758
L,The product must comply with Sarbanes-Oxley.,3,44,-1.198686110157037
L,The product shall comply with the estimatics laws relating to recycled parts usage.,3,83,-0.5532031059689674
L,The product shall comply with insurance regulations regarding claims processing.,3,80,-0.602855644752665
F,The user shall search for the preferred repair facility using vehicle  vehicle location  and radius in miles,1,108,-0.13943194943815346
F,The vehicle data shall include vehicle year  make  and model,1,60,-0.9338725699773162
F,The vehicle location shall include street address  city  state  and zipcode,1,75,-0.6856098760588277
F,The system shall resolve the zipcode for the street address  city  and state if zipcode is unknown.,1,99,-0.28838956578924646
F,The search radius shall be between 1 and 30 miles,1,49,-1.1159318788508743
F,The system shall locate the preferred repair facility with the highest ratings for the input criteria,1,101,-0.2552878732667813
F,The adjuster shall enter the preferred repair facility on the estimate assignment.,1,82,-0.5697539522301999
F,The adjuster shall be able to override the preferred repair facitlity on the estimate assignment.,1,97,-0.32149125831171155
F,The preferred repair facility shall be returned to the user.,1,60,-0.9338725699773162
F,The system shall return a list of repair facilities within the radius if the preferred repair facility cannot be determined.,1,124,0.12538159074156743
F,The estimator shall search for available recycled parts using damaged vehicle parts information.,1,96,-0.3380421045729441
F,The estimator shall search for available recycled parts using a list of preferred parts suppliers.,1,98,-0.304940412050479
F,The system shall search for available recycled parts for the supplied vehicle parts and suppliers.,1,98,-0.304940412050479
F,The estimator shall search by zipcode with a radius of 30 miles if no parts are found for the preferred parts suppliers,1,119,0.04262735943540465
F,The system shall retain the available recycled parts and suppliers returned from the search.,1,92,-0.4042454896178743
F,The available recycled parts information and their suppliers shall be returned to the user.,1,91,-0.4207963358791069
F,The estimator shall apply selected recycled parts to the collision estimate.,1,76,-0.6690590297975952
F,The estimator shall not apply recycled parts to the collision estimate if no available parts are returned.,1,106,-0.17253364196061857
F,The adjuster shall review the collision estimate.,1,49,-1.1159318788508743
F,The adjuster shall request a recycled parts audit of the collision estimate.,1,76,-0.6690590297975952
F,The recycled parts search results provided to the estimator shall be retrieved by the system.,1,93,-0.3876946433566418
F,The system shall generate an audit report based on the available recycled parts and the collision estimate.,1,107,-0.155982795699386
F,The audit report shall include the total number of recycled parts used in the estimate.,1,87,-0.4869997209240371
F,The audit report shall include the number of available recycled parts from the original search results.,1,103,-0.22218618074431623
F,The audit report shall include the percentage of available recycled parts used in the estimate,1,94,-0.37114379709540923
F,The audit report shall include the total score of the audit which sums the indivual line items.,1,95,-0.3545929508341767
F,The audit report shall be displayed to the user.,1,48,-1.1324827251121068
F,The audit report shall be available to other adjusters at later points in time.,1,79,-0.6194064910138976
F,The user shall select to view the preferred repair facility ratings.,1,68,-0.8014657998874557
F,The current repair facility ratings shall be displayed to the user.,1,67,-0.8180166461486882
F,The system will display a blank set of ratings if there are not ratings yet defined.,1,84,-0.5366522597077348
F,The user shall enter new ratings based on the audit report,1,58,-0.9669742624997812
F,The ratings shall be from a scale of 1-10,1,41,-1.2483386489407347
F,The ratings shall include categories for attempted use of recycled parts and actual use of recycled parts,1,105,-0.18908448822185112
F,The user shall select to save the preferred repair facility ratings.,1,68,-0.8014657998874557
F,The preferred repair facility ratings shall be saved by the system.,1,67,-0.8180166461486882
O,The product must work with most database management systems (DBMS) on the market  whether the DBMS is colocated with the product on the same machine or is located on a different machine on the computer network.,6,210,1.5487543692075671
O,The product will function alongside server software on any operating system where the Java runtime can be installed.,6,116,-0.0070251793482930145
O,The product will require collaboration with a database management system (DBMS).  The DBMS may be located on the same machine as the product or on a separate machine residing on the same computer network.,6,204,1.4494492916401718
O,The product must make use of web/application server technology.  Open source examples include Apache web server  Tomcat  and the JBoss application server.,6,154,0.621906978578544
O,A database management system such as Oracle  DB2  MySql or HSQL will need to be integrated with the product.,6,108,-0.13943194943815346
LF,The product�s Look and Feel shall be able to incorporate aspects of the customer�s organization such as logo  branding  and identity,4,132,0.25778836083142787
LF,The product shall have a conservative and professional appearance.,4,66,-0.8345674924099208
US,The product shall make the users want to use it. 80% of the users surveyed report they are regularly using the product after the first 2 weeks post-launch.,11,155,0.6384578248397766
US,The product shall be easy to use. 90% of users will be able to successfully reserve a conference room within 5 minutes of product use.,11,134,0.29089005335389295
US,The product shall give users feedback when necessary. 80% of the users surveyed report that the product accurately confirms their actions.,11,138,0.3570934383988232
US,The product shall allow the user to select a chosen language from one of the target market countries.,11,101,-0.2552878732667813
US,The product shall allow for customization of start page and views preferences.,11,78,-0.6359573372751302
US,An employee will be able to successfully use the product within a few minutes.  After informally navigating the product for less than 15 minutes  users shall be able to successfully setup meetings and reserve conference rooms.,11,226,1.813567909387288
US,The product shall use a standard navigation menu familiar to most web users.,11,76,-0.6690590297975952
US,The product shall allow for intuitive searching of available conference rooms.,11,78,-0.6359573372751302
US,The product shall conform to the Americans with Disabilities Act.,11,65,-0.8511183386711534
PE,The response shall be fast enough to avoid interrupting the user�s flow of thought.  90% of tasks shall complete within 5 seconds.  98% of tasks shall complete within 8 seconds.,7,177,1.0025764425868928
A,Aside from server failure  the software product shall achieve 99.99% up time.,0,77,-0.6525081835363626
FT,The product shall create an exception log of problems encountered within the product for transmission to our company for analysis and resolution.,2,145,0.4729493622274511
SC,The product shall be able to process 10 000 transactions per hour within two years of its launch.  This number will increase to 20 000 by Release 2.,9,148,0.5226019010111488
SC,The product shall be expected to operate for at least 5 years for each customer installation.,9,93,-0.3876946433566418
O,The product shall be used in office environments.,6,49,-1.1159318788508743
O,The product must be able to interface with various database management systems. The product shall communicate successfully with the database management system on 100% of all transactions.,6,187,1.1680849051992184
O,The product must be able to interface with various email servers. The product shall be able to send email.,6,106,-0.17253364196061857
O,The product shall be available for distribution via the Internet as a binary or ZIP file.,6,89,-0.453898028401572
O,The product shall be available for distribution as a packaged CD.,6,65,-0.8511183386711534
O,The product will be available for licensing as a one-server  two-five servers  or five-or-more servers license.,6,111,-0.08977941065445579
US,A new user must be able to be added to the system within 10 minutes.  90% of new users are able to log into the system within 10 minutes.,11,137,0.34054259213759064
MN,The product must be designed using Design Patterns and coding best practices.  90% of maintenance software developers are able to integrate new functionality into the product with 2 working days.,5,195,1.300491675289079
MN,Maintenance releases will be offered to customers once a year.  The releases shall take no longer than 5 minutes for 80% of the customer base to install.,5,153,0.6053561323173116
US,Every registered user will have access to the product�s support site via the Internet.  70% of registered users shall find a solution to their problem within 5 minutes of using the support site.,11,194,1.2839408290278462
MN,The customer shall be able to easily integrate new building maps with the product throughout the product�s lifecycle.  Integration of new maps with the product shall be possible with little to no support from product support staff.,5,231,1.8963221406934507
O,The product is expected to integrate with multiple database management systems.  The product will operate with Oracle  SQL Server  DB2  MySQL  HSQL  and MS Access.,6,163,0.7708645949296371
O,The product shall be able to be installed in any operating environment within 2 days.,6,85,-0.5201014134465022
SE,Only managers are able to perform search queries for reservations by user.  100% of all search queries for reservations by user shall be from logons of only management logons.,10,175,0.9694747500644277
SE,The product shall ensure that the database�s data corresponds to the data entered by the user.  Each conference room reservation in the system will contain the same information as was entered by the user.,10,204,1.4494492916401718
SE,The product shall prevent the input of malicious data.  The product and/or adjacent hardware/software systems� data shall remain 100% uncorrupted each time malicious data is input into the product.,10,197,1.333593367811544
SE,The product shall have the ability to receive automatic software updates as new threats emerge.  100% of customers will be able to receive automatic software updates transmitted to the installed product.,10,203,1.4328984453789393
SC,The language of the product shall accommodate all of the target market countries. 90% of survey respondents from each target market country will find that the language of the product is acceptable.,9,197,1.333593367811544
US,The product shall be able to display calendar dates and times according to the user�s locale.  90% of survey respondents from each target market country will find that the date and time formatting of the product is correct.,11,223,1.7639153706035904
O,The product must be developed with the J2SE/J2EE programming language libraries,6,79,-0.6194064910138976
F,The product shall record meeting entries.,1,41,-1.2483386489407347
F,The product will notify employees of meeting invitations.,1,57,-0.9835251087610137
F,The product shall have the ability to send meeting reminders to employees.,1,74,-0.7021607223200603
F,The product shall assign the organizers contact information to each meeting they create.,1,88,-0.47044887466280455
F,The product will record meeting acknowledgements.,1,49,-1.1159318788508743
F,The product shall store new conference rooms.,1,45,-1.1821352638958045
F,The product shall update existing conference rooms.,1,51,-1.082830186328409
F,The product will be able to delete conference rooms.,1,52,-1.0662793400671766
F,The product shall be able to store new room equipment.,1,54,-1.0331776475447114
F,The product will update existing room equipment.,1,48,-1.1324827251121068
F,The product shall be able to delete room equipment.,1,51,-1.082830186328409
F,The product shall allow an organizer to invite other employees to meetings.,1,75,-0.6856098760588277
F,Each time a conference room is reserved  the conference room schedule shall be updated to reflect the time and date of the reservation.,1,135,0.30744089961512555
F,The product shall record the transportation status of equipment reserved.,1,73,-0.7187115685812929
F,The product shall display a map of the company building showing conference room locations.,1,90,-0.43734718214033946
F,The product shall record updated meeting agendas.,1,49,-1.1159318788508743
F,The product shall send a meeting confirmation to the meeting organizer.,1,71,-0.751813261103758
F,The product shall display room equipment according to search parameters.,1,72,-0.7352624148425254
F,The product shall display conference rooms according to search parameters.,1,74,-0.7021607223200603
F,The product shall record different meeting types.,1,49,-1.1159318788508743
F,The product shall record all the equipment that has been reserved.,1,66,-0.8345674924099208
F,The product shall notify building personnel of equipment transport requests.,1,76,-0.6690590297975952
F,The product will allow priviledged users to view meeting schedules in multiple reporting views.,1,95,-0.3545929508341767
F,The product shall be able to send meeting notifications via different kinds of end-user specified methods.,1,106,-0.17253364196061857
F,The product shall have a customizable Look and Feel.,1,52,-1.0662793400671766
F,The product shall have an intuitive user interface.,1,51,-1.082830186328409
F,The product will display an available status for unreserved conference rooms.,1,77,-0.6525081835363626
PE,Recreation of Inventory Quantity Adjustment for the period of previous 30 days shall take no more than 30min.,7,109,-0.1228811031769209
PE,The System shall allow for a minimum of  6 users to work at the same time.,7,74,-0.7021607223200603
O,The System shall utilize currently owned computer equipment.,6,60,-0.9338725699773162
O,The System shall be able to automatically backup business data and restore them on demand.,6,90,-0.43734718214033946
SE,The System shall maintain consistent security.  Any changes in user passwords and/or permissions should take affect in all parts of the System.,10,143,0.43984766970498596
SE,The System shall granularly control access rights to all major subsystems.  It should be possible to assign access rights to all subsystems independently.,10,154,0.621906978578544
L,The System shall meet all applicable accounting standards.  The final version of the System must successfully pass independent audit performed by a certified auditor.,3,166,0.8205171337133348
O,The System shall not require additional third party licenses resulting in royalty fees.,6,87,-0.4869997209240371
F,The System shall allow generation of Inventory Quantity Adjustment documents on demand.,1,87,-0.4869997209240371
F,The System shall allow on demand generation of all Inventory Quantity Adjustment documents since certain point of time.,1,119,0.04262735943540465
F,The IQA subsystem shall take into account current inventory status and adjust inventory of substitutionary ingredients accordingly.,1,131,0.24123751457019532
F,The System shall allow entering  storing and modifying product formulas.,1,72,-0.7352624148425254
F,Product formulas shall allow use of semi-products  which have own formulas.,1,75,-0.6856098760588277
F,Product formula ingredients shall allow defining substitutionary ingredients.,1,77,-0.6525081835363626
F,Product formula substitutionary ingredients shall be entered automatically by the PFE subsystem.,1,96,-0.3380421045729441
F,Formula substitutionary ingredients shall be kept in persisted order,1,68,-0.8014657998874557
F,Product shall allow entering  storing and modifying product menus used by POS terminals.,1,88,-0.47044887466280455
F,PME Subsystem shall allow building product menus based on the list of products kept in the accounting system.,1,109,-0.1228811031769209
F,PME Subsystem shall allow keeping submenus within menus and products within submenus in a managed and persisted order.,1,118,0.026076513174172096
F,PME Subsystem shall allow for a product to exist in more than one submenu,1,73,-0.7187115685812929
F,The RMS System shall have Windows XP look and feel and use GUI futures making its use intuitive.,1,96,-0.3380421045729441
F,The System shall generate Inventory Quantity Adjustment document based on product daily sales data and product formulas.,1,120,0.059178205696637204
F,The System shall generate Inventory Quantity Adjustment document automatically when daily Product Sales data is available.,1,122,0.09227989821910232
PE,Administrator shall be able to activate a pre-paid card via the Administration section in under 5 seconds.,7,106,-0.17253364196061857
PE,Customer shall be able to check the status of their prepaid card  by entering in the PIN number  in under 5 seconds.,7,116,-0.0070251793482930145
PE,System shall let customers register on the website as a �pay as you go� user in under 5 minutes.,7,96,-0.3380421045729441
PE,System shall let customers register on the website as a �unlimited movie subscriber� user in under 10 minutes.,7,110,-0.10633025691568834
PE,System shall let existing customers log into the website with their email address and password in under 5 seconds.,7,114,-0.04012687187075813
PE,System shall let customers cancel their account  process shall take no longer than 2 minutes.  Database will mark the account as inactive  and user will not be able to log into the website.,7,189,1.2011865977216836
PE,System shall let administrator de-activate a customer account in under 1 minute. Customer will no longer be able to access the website.,7,135,0.30744089961512555
PE,System shall let administrator add/remove movies on the website in under 5 minutes.  Entered movie information will be stored in the database and will now be available on the website.,7,183,1.1018815201542882
PE,System shall let the administrator add/remove categories on the website in under 5 minutes.,7,91,-0.4207963358791069
PE,System shall let Izogn Manager access sales and usage statistics in under 2 minutes.,7,84,-0.5366522597077348
PE,System shall let administrators generate unique pre-paid pins in under 2 minutes and generate an Excel file with the generated PINs.,7,132,0.25778836083142787
LF,The website shall be attractive to all audiences.  The website shall appear to be fun and the colors should be bright and vibrant.,4,130,0.22468666830896275
LF,The website should have an African feel  but should not alienate non-Africans.  The website should use animation on pages which are describing the services  to grab the users attention and encourage them to sign up.,4,215,1.63150860051373
LF,The website design should be modern  clean  and concise.,4,56,-1.0000759550222462
US,The product should be able to be used by 90% of novice users on the Internet.,11,77,-0.6525081835363626
US,Users should only have to navigate through a maximum of 4 pages  to create an account with the website.,11,103,-0.22218618074431623
US,Users should be able to access their streaming movies in under 2 clicks after logging into the website.,11,103,-0.22218618074431623
US,An anonymous survey will show that 70% of customers are comfortable purchasing streaming movies after 2 weeks using the website.,11,128,0.19158497578649764
US,An anonymous survey will show that 95% of customers are comfortable using and purchasing pre-paid cards after a month of using the system.,11,138,0.3570934383988232
US,The product shall retain the customer�s buying preferences and information.,11,75,-0.6856098760588277
US,The product shall be easy for customers with novice skills on the  Internet to purchase and watch streaming movies.  Customers should be able to purchase and watch a pre-determined movie in under 3 minutes.,11,206,1.482550984162637
US,The product shall use symbols and words that are naturally understandable by users familiar with websites,11,105,-0.18908448822185112
US,The website will use standard Internet conventions when interacting with the user.,11,82,-0.5697539522301999
PE,Any interface between a user and the automated system shall have a maximum response time of 5 seconds  unless noted by an exception below.,7,138,0.3570934383988232
PE,When purchasing a streaming movie or pre-paid card via credit card  the processing time should have a maximum response time of 15 seconds.,7,138,0.3570934383988232
PE,When streaming a movie  the buffering time should take no longer than 10 seconds (plus any latency on the user�s connection.),7,125,0.14193243700279998
PE,While streaming a movie  buffering should only occur if there is latency in the user�s connection.,7,98,-0.304940412050479
SE,All credit card information will be secured on the server  and only accessible by authorized Izogn administrators.  Information will be encrypted in the database.,10,162,0.7543137486684045
A,The website shall be available for use 24 hours per day  365 days per year.,0,75,-0.6856098760588277
A,The website shall achieve 99.5% up time.,0,40,-1.2648894952019671
A,All movies shall be streamed on demand  at any time of the day.,0,63,-0.8842200311936185
FT,The website shall continue to operate if the streaming server goes down.,2,72,-0.7352624148425254
FT,The website shall continue to operate if the payment gateway goes down.,2,71,-0.751813261103758
SC,The streaming server will support 50 simultaneous streaming connections.,9,72,-0.7352624148425254
SC,The streaming server will support a maximum of 700 movies; new servers can be added to support more movies.,9,107,-0.155982795699386
SC,The server will support a maximum of 1 000 simultaneous users.,9,62,-0.900770877454851
SC,The website shall be capable of supporting 100 000 customers.,9,61,-0.9173217237160836
MN,The product shall be expected to operate within the maximum maintenance budget for a minimum of 2 years.,5,104,-0.2056353344830837
O,All aspects of the website shall be accessed by a web browser over the Internet.,6,80,-0.602855644752665
O,The same hardware supporting the current website will be used to support the new system.,6,88,-0.47044887466280455
O,We must be able to interface with the following browsers: IE 5.X  6.0  Netscape 6.x  7.x  8.x and Firefox 1.0.,6,110,-0.10633025691568834
O,Website must interface with the CyberSource API to process credit card transactions.,6,84,-0.5366522597077348
O,Website must be fully operational with MSN TV2.,6,47,-1.1490335713733393
O,Movies shall be encoded and streamed via Windows Media Player 9.0.,6,66,-0.8345674924099208
O,Movies shall be encoded for 56k and 256k streams.,6,49,-1.1159318788508743
MN,Promotional updates to the website should take a day to update.,5,63,-0.8842200311936185
PE,Izogn Administrator must be able to update the category listings on the website within 2 minutes.,7,97,-0.32149125831171155
PE,Izogn Administrator must be able to add new products to the website within 2 minutes.,7,85,-0.5201014134465022
A,The system will provide a 24 hour 800 toll free number for support to its customers.,0,84,-0.5366522597077348
US,The website will provide a help section with answers and solutions to common problems.,11,86,-0.5035505671852697
A,Velkat staff will be available for phone support between 7am-7pm  M-F to provide technical support to the Izogn administrators.,0,127,0.1750341295252651
O,The product shall be able to be installed in the specified environment within 1 working day.,6,92,-0.4042454896178743
SE,Only registered customers can purchase streaming movies.,10,56,-1.0000759550222462
SE,A customer can only stream a movie if they purchased it  and are within the 2 day viewing period.,10,97,-0.32149125831171155
SE,Only authorized personnel can access customer records in the database.,10,70,-0.7683641073649905
SE,Only administrators can activate a pre-paid card.,10,49,-1.1159318788508743
SE,Only authorized personnel can access sales information.,10,55,-1.016626801283479
SE,The website shall prevent its data from being corrupted when incorrect data is entered in.,10,90,-0.43734718214033946
SE,The website shall protect itself from intentional abuse  and notify the administrator at all occurrences.,10,105,-0.18908448822185112
SE,Data integrity scripts will be run on a weekly basis to verify the integrity of the database.,10,93,-0.3876946433566418
SE,The website shall make its user aware of its information practices before collection data from them via a Privacy Policy  accessible on all pages of the website.,10,161,0.737762902407172
SE,The system shall notify customers of changes to its information policy.,10,71,-0.751813261103758
SE,The system shall reveal private information only in compliance with the organization�s information policy.,10,106,-0.17253364196061857
SE,All customer information will be stored on a secure database  accessible only to authorized personnel.,10,102,-0.23873702700554877
SE,All credit card information will be encrypted in the database.,10,62,-0.900770877454851
SE,The streaming server will have anti-virus software to prevent infection of malicious viruses.,10,93,-0.3876946433566418
LF,The website should cater to all tribes in Nigeria.,4,50,-1.0993810325896416
LF,The website shall not be offensive to religious or ethnic groups.,4,65,-0.8511183386711534
LF,The website should appeal to all Africans  not only Nigerians.,4,62,-0.900770877454851
O,The website should use Flash to provide animation on the home page.,6,67,-0.8180166461486882
L,IzognMovies shall meet the licensing requirements set forth by the appropriate organizations in order to stream African movies.,3,127,0.1750341295252651
L,The website will comply with W3C standards.,3,43,-1.2152369564182695
L,The PHP code will comply with PEAR standards.,3,45,-1.1821352638958045
F,The website will allow customers to search for movies by title  actor  or director.,1,83,-0.5532031059689674
F,viewing a movie details  the website will display the movies description  actor  and director entered in by the administrator.,1,126,0.15848328326403255
F,Website shall request  and authorize credit card payment before allowing a user to stream a movie.,1,98,-0.304940412050479
F,shall be able to stream purchased movie via Windows Media Player  for up to 2 days aftere purchase date.,1,104,-0.2056353344830837
F,Website shall allow customers to browse movies by categories entered in by izogn administrator.,1,95,-0.3545929508341767
F,Website shall allow customers to view reviews of selected movies by other customers.,1,84,-0.5366522597077348
F,Website shall allow customers to add their own movie review for a selected movie.,1,81,-0.5863047984914325
F,Website shall allow the Izogn administrator to approve a review posted by a customer.,1,85,-0.5201014134465022
F,System will allow customers to pay for a streaming movie with a pre-paid card.,1,78,-0.6359573372751302
